,term,line,name,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,X,Y
0,202111,1호선,동대문,16830,18537,21517,20748,17323,15421,37.57142,127.009745
1,202111,6호선,연신내,3,0,1,0,1,0,37.619001,126.921008
2,202111,분당선,수서,27843,32090,21252,18610,25324,26158,37.487371,127.10188
3,202111,3호선,수서,34689,38879,27074,22727,30325,32229,37.487371,127.10188
4,202111,경부선,진위,2286,5765,1842,1194,4366,1822,37.109447,127.062278
5,202111,경부선,천안,9521,9717,11916,11708,9882,10952,36.810005,127.146826
6,202111,경부선,평택,24557,19553,21232,21190,22478,25863,36.990726,127.085159
7,202111,일산선,삼송,64460,19954,24651,23116,20722,46524,37.653083,126.895558
8,202111,6호선,불광,9521,5767,7451,6303,6366,8942,37.610469,126.929887
9,202111,3호선,불광,48773,24567,24731,26659,20111,38188,37.610469,126.929887
10,202111,경부선,화서,29582,7640,9257,7610,6897,21824,37.283862,126.989627
11,202111,경원선,가능,19432,8973,9663,7844,6983,14787,37.748577,127.044213
12,202111,3호선,무악재,13468,4100,5481,4611,3920,10173,37.582299,126.950291
13,202111,경원선,광운대,25644,9547,11977,11233,8447,17704,37.623632,127.061835
14,202111,경원선,녹양,13597,5943,6700,5369,4902,10205,37.75938,127.042292
15,202111,일산선,백석,20416,18108,15565,13900,15617,18871,37.643114,126.78787
16,202111,3호선,매봉,16527,43269,14592,12686,30704,14706,37.486947,127.046769
17,202111,경원선,녹천,16503,3949,6754,4857,3371,10005,37.644799,127.051269
18,202111,5호선,하남풍산,9072,10302,5522,5108,7493,7246,37.55223,127.2038
19,202111,경원선,덕계,10130,3491,4476,3019,2832,6927,37.818486,127.056486
20,202111,3호선,동대입구,6222,31422,11823,14138,23105,8360,37.559052,127.005602
21,202111,경원선,덕정,14882,11631,9151,6835,7930,11198,37.843188,127.061277
22,202111,일산선,마두,15019,15068,13067,11449,10669,13214,37.652206,126.77762
23,202111,일산선,원당,38664,10794,16286,13241,10072,27152,37.653324,126.843041
24,202111,경부선,직산,1525,2187,1098,948,1637,1253,36.870593,127.143904
25,202111,경부선,의왕,24958,21442,10826,8873,14885,18580,37.320852,126.948217
26,202111,6호선,약수,5796,10331,5209,4819,7368,5289,37.55434,127.010655
27,202111,경부선,성균관대,48349,16649,18457,15902,16995,39241,37.300349,126.97075
