지하철역,X,Y,호선명
가능,37.748577,127.044213,1호선
가락시장,37.492522,127.118234,1호선
가락시장,37.492522,127.118234,1호선
가산디지털단지,37.481072,126.882343,1호선
가산디지털단지,37.481072,126.882343,1호선
가양,37.561391,126.854456,1호선
가오리,37.641701,127.016792,1호선
가좌,37.568491,126.915487,1호선
가천대,37.448605,127.126697,1호선
가평,37.814536,127.510739,2호선
간석,37.464737,126.694181,2호선
강남,37.497175,127.027926,2호선
강남구청,37.517186,127.04128,2호선
강남구청,37.517186,127.04128,2호선
강동,37.535804,127.132481,2호선
강동구청,37.530341,127.120508,2호선
강매,37.612314,126.843223,2호선
강변(동서울터미널),37.535095,127.094681,2호선
강촌,37.805723,127.634146,2호선
개롱,37.498079,127.13482,2호선
개봉,37.494594,126.85868,2호선
개포동,37.489116,127.06614,2호선
개화,37.578608,126.798153,2호선
개화산,37.572399,126.806171,2호선
거여,37.493105,127.14415,2호선
건대입구,37.540693,127.07023,2호선
건대입구,37.540693,127.07023,2호선
검암,37.569104,126.673728,2호선
검암,37.569104,126.673728,2호선
경기광주,37.399907,126.630347,2호선
경마공원,37.443885,127.007888,2호선
경복궁(정부서울청사),37.575762,126.97353,2호선
경찰병원,37.495918,127.12454,2호선
계양,37.571462,126.735637,2호선
계양,37.571462,126.735637,2호선
고덕,37.555004,127.154151,2호선
고려대(종암),37.590508,127.036296,2호선
고속터미널,37.50481,127.004943,2호선
고속터미널,37.50481,127.004943,2호선
고속터미널,37.50481,127.004943,2호선
고잔,37.316777,126.823249,2호선
곡산,37.645676,126.801762,2호선
곤지암,37.351315,127.34674,2호선
공덕,37.544018,126.951592,2호선
공덕,37.544018,126.951592,2호선
공덕,37.544018,126.951592,2호선
공덕,37.544018,126.951592,2호선
공릉(서울과학기술대),37.625742,127.072896,2호선
공항시장,37.563726,126.810678,2호선
공항화물청사,37.458366,126.476241,2호선
과천,37.433021,126.996568,2호선
관악,37.419232,126.908706,2호선
광나루(장신대),37.545303,127.10357,2호선
광명,37.416182,126.884466,2호선
광명사거리,37.479252,126.854876,2호선
광운대,37.623632,127.061835,2호선
광화문(세종문화회관),37.571026,126.976669,3호선
광흥창(서강),37.547456,126.931993,3호선
교대(법원.검찰청),37.493415,127.01408,3호선
교대(법원.검찰청),37.493415,127.01408,3호선
구로,37.503039,126.881966,3호선
구로디지털단지,37.485266,126.901401,3호선
구룡,37.486839,127.058856,3호선
구리,37.603392,127.143869,3호선
구반포,37.501364,126.987332,3호선
구산,37.611377,126.91727,3호선
구성,37.298969,127.105664,3호선
구의(광진구청),37.537077,127.085916,3호선
구일,37.496756,126.870793,3호선
구파발,37.636763,126.918821,3호선
국수,37.516169,127.399367,3호선
국회의사당,37.528105,126.917874,3호선
군자(능동),37.557121,127.079542,3호선
군자(능동),37.557121,127.079542,3호선
군포,37.35356,126.948462,3호선
굴봉산,37.832067,127.557695,3호선
굴포천,37.506997,126.73128,3호선
굽은다리(강동구민회관앞),37.545477,127.142853,3호선
금곡,37.637382,127.207853,3호선
금릉,37.751322,126.765347,3호선
금정,37.372221,126.943429,3호선
금천구청,37.455626,126.89398,3호선
금촌,37.766217,126.774644,3호선
금호,37.548034,127.015872,3호선
기흥,37.275619,127.115936,3호선
길동,37.537801,127.140004,3호선
